"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-01","0.00","0.0","0.0","48","60","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-02","0.00","0.0","0.0","48","56","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-03","0.00","0.0","0.0","49","67","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-04","0.00","0.0","0.0","53","65","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-05","0.00","0.0","0.0","49","59","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-06","0.00","0.0","0.0","47","53","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-07","0.00","0.0","0.0","42","46","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-08","0.02","0.0","0.0","44","47","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-09","0.20","0.0","0.0","45","52","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-10","0.00","0.0","0.0","47","54","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-11","0.00","0.0","0.0","45","57","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-12","0.00","0.0","0.0","45","54","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-13","0.00","0.0","0.0","42","55","33"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-14","0.00","0.0","0.0","45","54","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-15","0.00","0.0","0.0","45","56","33"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-16","0.43","0.0","0.0","49","60","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-17","0.00","0.0","0.0","44","51","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-18","0.00","0.0","0.0","42","49","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-19","0.00","0.0","0.0","44","50","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-20","0.00","0.0","0.0","46","54","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-21","0.00","0.0","0.0","52","61","45"
